@W: MO111 :"d:\practice\fic\component\work\fic\osc_0\fic_osc_0_osc.v":20:7:20:16|Tristate driver XTLOSC_O2F on net XTLOSC_O2F has its enable tied to GND (module FIC_OSC_0_OSC) 
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_neg[9],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_pos[9]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_both_443[31],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_pos_443[31]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_both_149[10],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_pos_149[10]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_both_107[7],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_pos_107[7]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_neg[20],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_pos[20]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_neg[14],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_pos[14]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_both_121[8],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_pos_121[8]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_neg[16],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_pos[16]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_neg[19],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_pos[19]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_neg[18],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_pos[18]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_neg[13],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_pos[13]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_neg[21],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_pos[21]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_neg[27],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_pos[27]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_neg[10],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_both[10]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_pos[10],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_both[10]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_neg[8],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_both[8]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_pos[8],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_both[8]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_neg[7],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_both[7]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_pos[7],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_both[7]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_neg[31],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_both[31]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_pos[31],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_both[31]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_pos[11],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_both[11]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_neg[24],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_both[24]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_pos[24],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_both[24]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_neg[30],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_both[30]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_pos[30],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_both[30]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_pos[18],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_both[18]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_neg[29],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_both[29]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_pos[29],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_both[29]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_neg[28],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_both[28]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_pos[28],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_both[28]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_neg[26],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_both[26]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_pos[26],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_both[26]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_pos[25],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_both[25]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_pos[17],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_both[17]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_pos[16],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_both[16]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_pos[14],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_both[14]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_pos[13],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_both[13]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_pos[12],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_both[12]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_pos[9],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_both[9]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_pos[23],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_both[23]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_pos[22],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_both[22]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_pos[27],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_both[27]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_pos[21],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_both[21]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_pos[20],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_both[20]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":416:0:416:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_pos[19],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_both[19]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":423:0:423:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_pos_219[15],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_both_219[15]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_neg[15],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_pos[15]
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_23 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_111 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_119 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_60 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_110 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_118 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_63 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_8 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_24 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_120 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_55 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_11 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_27 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_123 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_1 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_71 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_79 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_100 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_95 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_117 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_62 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_87 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_45 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_38 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_83 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_9 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_25 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_121 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_3 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_70 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_78 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_103 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_94 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_22 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_58 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_86 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_47 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_36 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_52 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_67 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_46 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_39 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_54 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_69 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_77 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_102 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_93 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_21 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_109 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_85 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_41 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_34 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_50 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_65 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_44 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_37 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_53 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_68 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_76 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_101 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_92 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_20 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_108 appears to be an unidentified clock source. Assuming default frequency. 
@W: MT462 :"d:\practice\fic\hdl\reg16x8.v":28:8:28:9|Net reg_apb_wrp_0.reg16x8_0.un1_mem_0_5_116 appears to be an unidentified clock source. Assuming default frequency. 
