Debug File version: Ver 1.0
Creator: Designer
Creator version: v11.5 SP3
Creator build: 11.5.3.10
External die name: M2S010
Package: 484 FBGA
Design Name: FIC
Probe A IO: available for probe A
Probe B IO: not available for probing
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[26][0]:CoreGPIO_0/xhdl1_GEN_BITS[26]_REG_GEN_CONFIG_reg[26][0]:Q Type=0 ADDR=0xB0216 (WADDR=0xB BADDR=0x0 PRBR=0x2 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[7][1]:CoreGPIO_0/xhdl1_GEN_BITS[7]_REG_GEN_CONFIG_reg[7][1]:Q Type=0 ADDR=0x30115 (WADDR=0x3 BADDR=0x0 PRBR=0x1 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[23][6]:CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][6]:Q Type=0 ADDR=0x28113 (WADDR=0x2 BADDR=0x2 PRBR=0x1 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_183_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_183_rs:Q Type=0 ADDR=0x1F830F (WADDR=0x1F BADDR=0x2 PRBR=0x3 CLOFFSET=0xF)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.INTR_reg[22]:CoreGPIO_0/xhdl1_GEN_BITS[22]_APB_32_INTR_reg[22]:Q Type=0 ADDR=0x48011 (WADDR=0x4 BADDR=0x2 PRBR=0x0 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_14_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_14_set:Q Type=0 ADDR=0x170110 (WADDR=0x17 BADDR=0x0 PRBR=0x1 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0/GPOUT_reg[7]:CoreGPIO_0/xhdl1_GEN_BITS[7]_APB_32_GPOUT_reg[7]:Q Type=0 ADDR=0x68214 (WADDR=0x6 BADDR=0x2 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[8][6]:CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][6]:Q Type=0 ADDR=0x48310 (WADDR=0x4 BADDR=0x2 PRBR=0x3 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[25][5]:CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][5]:Q Type=0 ADDR=0xE0114 (WADDR=0xE BADDR=0x0 PRBR=0x1 CLOFFSET=0x14)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_38_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_38_set:Q Type=0 ADDR=0x1B8018 (WADDR=0x1B BADDR=0x2 PRBR=0x0 CLOFFSET=0x18)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_155_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_155_rs:Q Type=0 ADDR=0x128110 (WADDR=0x12 BADDR=0x2 PRBR=0x1 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[24][6]:CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][6]:Q Type=0 ADDR=0x50010 (WADDR=0x5 BADDR=0x0 PRBR=0x0 CLOFFSET=0x10)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_247_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_247_rs:Q Type=0 ADDR=0x170019 (WADDR=0x17 BADDR=0x0 PRBR=0x0 CLOFFSET=0x19)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[21][4]:CoreGPIO_0/xhdl1_GEN_BITS[21]_REG_GEN_CONFIG_reg[21][4]:Q Type=0 ADDR=0xD0216 (WADDR=0xD BADDR=0x0 PRBR=0x2 CLOFFSET=0x16)
ProbePoint: Name=reg_apb_wrp_0/fsm[0]:reg_apb_wrp_0/fsm[0]:Q Type=0 ADDR=0x98013 (WADDR=0x9 BADDR=0x2 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=COREAPBLSRAM_0.PRDATA_reg[3]:COREAPBLSRAM_0/PRDATA_reg[3]:Q Type=0 ADDR=0x98014 (WADDR=0x9 BADDR=0x2 PRBR=0x0 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/gpin2[0]:CoreGPIO_0/xhdl1_GEN_BITS[0]_gpin2[0]:Q Type=0 ADDR=0x4830F (WADDR=0x4 BADDR=0x2 PRBR=0x3 CLOFFSET=0xF)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_227_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_227_rs:Q Type=0 ADDR=0x1B800B (WADDR=0x1B BADDR=0x2 PRBR=0x0 CLOFFSET=0xB)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_11_rs[2]:reg_apb_wrp_0/reg16x8_0/mem_11_[2]:Q Type=0 ADDR=0x110113 (WADDR=0x11 BADDR=0x0 PRBR=0x1 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_71_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_71_set:Q Type=0 ADDR=0x20800D (WADDR=0x20 BADDR=0x2 PRBR=0x0 CLOFFSET=0xD)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[1][6]:CoreGPIO_0/xhdl1_GEN_BITS[1]_REG_GEN_CONFIG_reg[1][6]:Q Type=0 ADDR=0xC8215 (WADDR=0xC BADDR=0x2 PRBR=0x2 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[23][1]:CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][1]:Q Type=0 ADDR=0x38115 (WADDR=0x3 BADDR=0x2 PRBR=0x1 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.GPOUT_reg[13]:CoreGPIO_0/xhdl1_GEN_BITS[13]_APB_32_GPOUT_reg[13]:Q Type=0 ADDR=0xC8112 (WADDR=0xC BADDR=0x2 PRBR=0x1 CLOFFSET=0x12)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_8_rs[4]:reg_apb_wrp_0/reg16x8_0/mem_8_[4]:Q Type=0 ADDR=0x1F800E (WADDR=0x1F BADDR=0x2 PRBR=0x0 CLOFFSET=0xE)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_80_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_80_set:Q Type=0 ADDR=0x1C8109 (WADDR=0x1C BADDR=0x2 PRBR=0x1 CLOFFSET=0x9)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[20][1]:CoreGPIO_0/xhdl1_GEN_BITS[20]_REG_GEN_CONFIG_reg[20][1]:Q Type=0 ADDR=0x48217 (WADDR=0x4 BADDR=0x2 PRBR=0x2 CLOFFSET=0x17)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.INTR_reg[31]:CoreGPIO_0/xhdl1_GEN_BITS[31]_APB_32_INTR_reg[31]:Q Type=0 ADDR=0x48112 (WADDR=0x4 BADDR=0x2 PRBR=0x1 CLOFFSET=0x12)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_143_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_143_rs:Q Type=0 ADDR=0x188119 (WADDR=0x18 BADDR=0x2 PRBR=0x1 CLOFFSET=0x19)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_41_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_41_set:Q Type=0 ADDR=0x170010 (WADDR=0x17 BADDR=0x0 PRBR=0x0 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.GPOUT_reg[12]:CoreGPIO_0/xhdl1_GEN_BITS[12]_APB_32_GPOUT_reg[12]:Q Type=0 ADDR=0x80211 (WADDR=0x8 BADDR=0x0 PRBR=0x2 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[3][3]:CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][3]:Q Type=0 ADDR=0xB0213 (WADDR=0xB BADDR=0x0 PRBR=0x2 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_3_rs[1]:reg_apb_wrp_0/reg16x8_0/mem_3_[1]:Q Type=0 ADDR=0x158215 (WADDR=0x15 BADDR=0x2 PRBR=0x2 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_203_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_203_rs:Q Type=0 ADDR=0x14010B (WADDR=0x14 BADDR=0x0 PRBR=0x1 CLOFFSET=0xB)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_4_rs[5]:reg_apb_wrp_0/reg16x8_0/mem_4_[5]:Q Type=0 ADDR=0x1A0309 (WADDR=0x1A BADDR=0x0 PRBR=0x3 CLOFFSET=0x9)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[15][2]:CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][2]:Q Type=0 ADDR=0x28214 (WADDR=0x2 BADDR=0x2 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_83_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_83_set:Q Type=0 ADDR=0x168115 (WADDR=0x16 BADDR=0x2 PRBR=0x1 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_177_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_177_rs:Q Type=0 ADDR=0x1B8317 (WADDR=0x1B BADDR=0x2 PRBR=0x3 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_130_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_130_rs:Q Type=0 ADDR=0x1B020C (WADDR=0x1B BADDR=0x0 PRBR=0x2 CLOFFSET=0xC)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_245_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_245_rs:Q Type=0 ADDR=0x140317 (WADDR=0x14 BADDR=0x0 PRBR=0x3 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_242_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_242_rs:Q Type=0 ADDR=0x1D0118 (WADDR=0x1D BADDR=0x0 PRBR=0x1 CLOFFSET=0x18)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_122_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_122_set:Q Type=0 ADDR=0x218216 (WADDR=0x21 BADDR=0x2 PRBR=0x2 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[24][3]:CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][3]:Q Type=0 ADDR=0x50210 (WADDR=0x5 BADDR=0x0 PRBR=0x2 CLOFFSET=0x10)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_233_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_233_rs:Q Type=0 ADDR=0x1E0312 (WADDR=0x1E BADDR=0x0 PRBR=0x3 CLOFFSET=0x12)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/temp_data[0]:reg_apb_wrp_0/reg16x8_0/temp_data[0]:Q Type=0 ADDR=0x1A8111 (WADDR=0x1A BADDR=0x2 PRBR=0x1 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_225_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_225_rs:Q Type=0 ADDR=0x1E010B (WADDR=0x1E BADDR=0x0 PRBR=0x1 CLOFFSET=0xB)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_4_rs[7]:reg_apb_wrp_0/reg16x8_0/mem_4_[7]:Q Type=0 ADDR=0x23020E (WADDR=0x23 BADDR=0x0 PRBR=0x2 CLOFFSET=0xE)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_120_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_120_set:Q Type=0 ADDR=0x1D0216 (WADDR=0x1D BADDR=0x0 PRBR=0x2 CLOFFSET=0x16)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_111_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_111_set:Q Type=0 ADDR=0x260013 (WADDR=0x26 BADDR=0x0 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[19][3]:CoreGPIO_0/xhdl1_GEN_BITS[19]_REG_GEN_CONFIG_reg[19][3]:Q Type=0 ADDR=0xB0013 (WADDR=0xB BADDR=0x0 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[14][2]:CoreGPIO_0/xhdl1_GEN_BITS[14]_REG_GEN_CONFIG_reg[14][2]:Q Type=0 ADDR=0x68118 (WADDR=0x6 BADDR=0x2 PRBR=0x1 CLOFFSET=0x18)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_222_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_222_rs:Q Type=0 ADDR=0x1C8207 (WADDR=0x1C BADDR=0x2 PRBR=0x2 CLOFFSET=0x7)
ProbePoint: Name=CoreGPIO_0/gpin2[3]:CoreGPIO_0/xhdl1_GEN_BITS[3]_gpin2[3]:Q Type=0 ADDR=0xA810F (WADDR=0xA BADDR=0x2 PRBR=0x1 CLOFFSET=0xF)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_14_rs[1]:reg_apb_wrp_0/reg16x8_0/mem_14_[1]:Q Type=0 ADDR=0x1E8015 (WADDR=0x1E BADDR=0x2 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[4][1]:CoreGPIO_0/xhdl1_GEN_BITS[4]_REG_GEN_CONFIG_reg[4][1]:Q Type=0 ADDR=0x50217 (WADDR=0x5 BADDR=0x0 PRBR=0x2 CLOFFSET=0x17)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[29][5]:CoreGPIO_0/xhdl1_GEN_BITS[29]_REG_GEN_CONFIG_reg[29][5]:Q Type=0 ADDR=0xD8315 (WADDR=0xD BADDR=0x2 PRBR=0x3 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_190_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_190_rs:Q Type=0 ADDR=0x12800E (WADDR=0x12 BADDR=0x2 PRBR=0x0 CLOFFSET=0xE)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_14_rs[7]:reg_apb_wrp_0/reg16x8_0/mem_14_[7]:Q Type=0 ADDR=0x170118 (WADDR=0x17 BADDR=0x0 PRBR=0x1 CLOFFSET=0x18)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_8_rs[2]:reg_apb_wrp_0/reg16x8_0/mem_8_[2]:Q Type=0 ADDR=0x21820D (WADDR=0x21 BADDR=0x2 PRBR=0x2 CLOFFSET=0xD)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_206_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_206_rs:Q Type=0 ADDR=0x170007 (WADDR=0x17 BADDR=0x0 PRBR=0x0 CLOFFSET=0x7)
ProbePoint: Name=CoreGPIO_0/gpin2[2]:CoreGPIO_0/xhdl1_GEN_BITS[2]_gpin2[2]:Q Type=0 ADDR=0xD8010 (WADDR=0xD BADDR=0x2 PRBR=0x0 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[0][7]:CoreGPIO_0/xhdl1_GEN_BITS[0]_REG_GEN_CONFIG_reg[0][7]:Q Type=0 ADDR=0x40110 (WADDR=0x4 BADDR=0x0 PRBR=0x1 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[14][7]:CoreGPIO_0/xhdl1_GEN_BITS[14]_REG_GEN_CONFIG_reg[14][7]:Q Type=0 ADDR=0x60211 (WADDR=0x6 BADDR=0x0 PRBR=0x2 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_12_rs[2]:reg_apb_wrp_0/reg16x8_0/mem_12_[2]:Q Type=0 ADDR=0x1C820C (WADDR=0x1C BADDR=0x2 PRBR=0x2 CLOFFSET=0xC)
ProbePoint: Name=COREAPBLSRAM_0.PRDATA_reg[24]:COREAPBLSRAM_0/PRDATA_reg[24]:Q Type=0 ADDR=0x98211 (WADDR=0x9 BADDR=0x2 PRBR=0x2 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[3][6]:CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][6]:Q Type=0 ADDR=0xB0113 (WADDR=0xB BADDR=0x0 PRBR=0x1 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_2_rs[6]:reg_apb_wrp_0/reg16x8_0/mem_2_[6]:Q Type=0 ADDR=0x1E0318 (WADDR=0x1E BADDR=0x0 PRBR=0x3 CLOFFSET=0x18)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_9_rs[1]:reg_apb_wrp_0/reg16x8_0/mem_9_[1]:Q Type=0 ADDR=0x1B8017 (WADDR=0x1B BADDR=0x2 PRBR=0x0 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_204_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_204_rs:Q Type=0 ADDR=0x140006 (WADDR=0x14 BADDR=0x0 PRBR=0x0 CLOFFSET=0x6)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_79_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_79_set:Q Type=0 ADDR=0x260318 (WADDR=0x26 BADDR=0x0 PRBR=0x3 CLOFFSET=0x18)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[31][1]:CoreGPIO_0/xhdl1_GEN_BITS[31]_REG_GEN_CONFIG_reg[31][1]:Q Type=0 ADDR=0x38015 (WADDR=0x3 BADDR=0x2 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_187_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_187_rs:Q Type=0 ADDR=0x1A0217 (WADDR=0x1A BADDR=0x0 PRBR=0x2 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_109_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_109_set:Q Type=0 ADDR=0x260113 (WADDR=0x26 BADDR=0x0 PRBR=0x1 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/edge_both[0]:CoreGPIO_0/xhdl1_GEN_BITS[0]_APB_32_edge_both[0]:Q Type=0 ADDR=0x5000F (WADDR=0x5 BADDR=0x0 PRBR=0x0 CLOFFSET=0xF)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_236_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_236_rs:Q Type=0 ADDR=0x248211 (WADDR=0x24 BADDR=0x2 PRBR=0x2 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_6_rs[0]:reg_apb_wrp_0/reg16x8_0/mem_6_[0]:Q Type=0 ADDR=0x14820E (WADDR=0x14 BADDR=0x2 PRBR=0x2 CLOFFSET=0xE)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_248_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_248_rs:Q Type=0 ADDR=0x1B8013 (WADDR=0x1B BADDR=0x2 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_178_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_178_rs:Q Type=0 ADDR=0x1A0007 (WADDR=0x1A BADDR=0x0 PRBR=0x0 CLOFFSET=0x7)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_0_rs[5]:reg_apb_wrp_0/reg16x8_0/mem_0_[5]:Q Type=0 ADDR=0x1E0309 (WADDR=0x1E BADDR=0x0 PRBR=0x3 CLOFFSET=0x9)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[16][7]:CoreGPIO_0/xhdl1_GEN_BITS[16]_REG_GEN_CONFIG_reg[16][7]:Q Type=0 ADDR=0x58210 (WADDR=0x5 BADDR=0x2 PRBR=0x2 CLOFFSET=0x10)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_49_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_49_set:Q Type=0 ADDR=0x230108 (WADDR=0x23 BADDR=0x0 PRBR=0x1 CLOFFSET=0x8)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_14_rs[6]:reg_apb_wrp_0/reg16x8_0/mem_14_[6]:Q Type=0 ADDR=0x158018 (WADDR=0x15 BADDR=0x2 PRBR=0x0 CLOFFSET=0x18)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.INTR_reg[26]:CoreGPIO_0/xhdl1_GEN_BITS[26]_APB_32_INTR_reg[26]:Q Type=0 ADDR=0xC0211 (WADDR=0xC BADDR=0x0 PRBR=0x2 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_234_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_234_rs:Q Type=0 ADDR=0x228214 (WADDR=0x22 BADDR=0x2 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_228_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_228_rs:Q Type=0 ADDR=0x20810A (WADDR=0x20 BADDR=0x2 PRBR=0x1 CLOFFSET=0xA)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.GPOUT_reg[24]:CoreGPIO_0/xhdl1_GEN_BITS[24]_APB_32_GPOUT_reg[24]:Q Type=0 ADDR=0xB8311 (WADDR=0xB BADDR=0x2 PRBR=0x3 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.INTR_reg[11]:CoreGPIO_0/xhdl1_GEN_BITS[11]_APB_32_INTR_reg[11]:Q Type=0 ADDR=0xB8011 (WADDR=0xB BADDR=0x2 PRBR=0x0 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_7_rs[4]:reg_apb_wrp_0/reg16x8_0/mem_7_[4]:Q Type=0 ADDR=0x14000A (WADDR=0x14 BADDR=0x0 PRBR=0x0 CLOFFSET=0xA)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_18_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_18_set:Q Type=0 ADDR=0x1E030C (WADDR=0x1E BADDR=0x0 PRBR=0x3 CLOFFSET=0xC)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.GPOUT_reg[15]:CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_GPOUT_reg[15]:Q Type=0 ADDR=0x48012 (WADDR=0x4 BADDR=0x2 PRBR=0x0 CLOFFSET=0x12)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_95_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_95_set:Q Type=0 ADDR=0x140013 (WADDR=0x14 BADDR=0x0 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/temp_data[4]:reg_apb_wrp_0/reg16x8_0/temp_data[4]:Q Type=0 ADDR=0x1A830E (WADDR=0x1A BADDR=0x2 PRBR=0x3 CLOFFSET=0xE)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[9][2]:CoreGPIO_0/xhdl1_GEN_BITS[9]_REG_GEN_CONFIG_reg[9][2]:Q Type=0 ADDR=0xA0117 (WADDR=0xA BADDR=0x0 PRBR=0x1 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_0_rs[7]:reg_apb_wrp_0/reg16x8_0/mem_0_[7]:Q Type=0 ADDR=0x1C800D (WADDR=0x1C BADDR=0x2 PRBR=0x0 CLOFFSET=0xD)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[15][4]:CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][4]:Q Type=0 ADDR=0x38315 (WADDR=0x3 BADDR=0x2 PRBR=0x3 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.GPOUT_reg[9]:CoreGPIO_0/xhdl1_GEN_BITS[9]_APB_32_GPOUT_reg[9]:Q Type=0 ADDR=0x78111 (WADDR=0x7 BADDR=0x2 PRBR=0x1 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_147_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_147_rs:Q Type=0 ADDR=0x248116 (WADDR=0x24 BADDR=0x2 PRBR=0x1 CLOFFSET=0x16)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_2_rs[3]:reg_apb_wrp_0/reg16x8_0/mem_2_[3]:Q Type=0 ADDR=0x248015 (WADDR=0x24 BADDR=0x2 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.GPOUT_reg[25]:CoreGPIO_0/xhdl1_GEN_BITS[25]_APB_32_GPOUT_reg[25]:Q Type=0 ADDR=0xC0312 (WADDR=0xC BADDR=0x0 PRBR=0x3 CLOFFSET=0x12)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_188_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_188_rs:Q Type=0 ADDR=0x14010E (WADDR=0x14 BADDR=0x0 PRBR=0x1 CLOFFSET=0xE)
ProbePoint: Name=CoreGPIO_0/edge_neg[6]:CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_edge_neg[6]:Q Type=0 ADDR=0x30011 (WADDR=0x3 BADDR=0x0 PRBR=0x0 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.INTR_reg[12]:CoreGPIO_0/xhdl1_GEN_BITS[12]_APB_32_INTR_reg[12]:Q Type=0 ADDR=0x78011 (WADDR=0x7 BADDR=0x2 PRBR=0x0 CLOFFSET=0x11)
